code,price
19,45 000
20,25 000
21,25 000
23,25 000
29,30 000
33,25 000
34,25 000
37,40 000
38,96 000
39,50 000
40,60 000
49,50 000
50,50 000
51,76 000
52,45 000
53,45 000
54,75 000
55,50 000
57,50 000
58,120 000
60,80 000
61,69 000
62,97 000
63,65 000
64,137 000
65,48 000
66,40 000
67,40 000
68,40 000
69,45 000
70,72 000
71,92 000
72,60 000
73,45 000
74,40 000
75,150 000
76,65 000
77,120 000
78,50 000
83,30 000
84,30 000
85,25 000
86,30 000
87,30 000
88,30 000
90,30 000
91,30 000
92,25 000
93,30 000
94,30 000
95,30 000
96,20 000
97,20 000
101,96 000
113,35 000
117,30 000
118,30 000
123,64 000
124,253 000
126,40 000
128,59 000
137,25 000
141,20 000
156,45 000
164,25 000
170,80 000
171,40 000
176,45 000
183,95 000
191,100 000
196,139 000
209,64 000
356,103 000
363,116 000
392,225 000
403,128 000
406,90 000
411,160 000
412,73 000
413,30 000
415,171 000
418,235 000
419,92 000
461,66 000
467,46 000
490,78 000
647,130 000
656,160 000
657,60 000
662,30 000
676,73 000
687,300 000
691,170 000
693,90 000
694,90 000
779,323 000
791,20 000
798,120 000
